Tiempo;ErrorMat;Caidas;NivelFrustracion;Estado
79.11645;0;0;0;Optimo
85.32094;0;0;6.287879;Optimo
85.82522;0;0;28.10606;Enganchado
85.8423;0;0;28.10606;Enganchado
89.14619;0;0;41.41447;Enganchado
93.55752;0;0;54.32243;Frustrado
93.5755;0;0;54.32243;Frustrado
102.0809;1;0;60.19608;Frustrado
114.0206;0;0;0;Optimo
114.0206;0;0;0;Optimo
118.6396;0;0;6.287879;Optimo
121.2033;0;0;28.10606;Enganchado
121.2233;0;0;28.10606;Enganchado
125.108;0;0;41.41447;Enganchado
126.654;0;0;54.32243;Frustrado
126.6728;0;0;54.32243;Frustrado
247.5741;0;0;54.32243;Frustrado
153.7598;0;0;0;Optimo
155.0682;0;0;0;Optimo
155.0682;0;0;0;Optimo
173.3825;0;1;6.287879;Optimo
253.7742;0;1;6.287879;Optimo
77.65399;0;0;0;Optimo
79.42005;0;0;0;Optimo
79.42005;0;0;0;Optimo
81.27373;0;0;6.287879;Optimo
82.31628;0;0;28.10606;Enganchado
82.33052;0;0;28.10606;Enganchado
83.91766;0;0;41.41447;Enganchado
84.8295;0;0;54.32243;Frustrado
84.84515;0;0;54.32243;Frustrado
113.7701;0;0;54.32243;Frustrado
37.9707;0;0;6.287879;Optimo
39.06054;0;0;28.10606;Enganchado
39.07603;0;0;28.10606;Enganchado
81.89287;0;0;28.10606;Enganchado
83.07873;0;0;0;Optimo
83.07873;0;0;0;Optimo
85.1077;0;0;6.287879;Optimo
99.11996;1;0;28.10606;Enganchado
99.13374;1;0;28.10606;Enganchado
117.0244;0;0;0;Optimo
117.0244;0;0;0;Optimo
120.1428;0;0;6.287879;Optimo
130.9935;1;0;28.10606;Enganchado
131.0106;1;0;28.10606;Enganchado
163.3913;1;0;28.10606;Enganchado
33.93596;0;0;6.287879;Optimo
44.68999;1;0;28.10606;Enganchado
44.70447;1;0;28.10606;Enganchado
69.11873;1;0;28.10606;Enganchado
70.80335;0;0;0;Optimo
70.80335;0;0;0;Optimo
75.90161;0;0;6.287879;Optimo
77.78728;0;0;28.10606;Enganchado
77.80241;0;0;28.10606;Enganchado
93.77169;0;0;0;Optimo
93.77169;0;0;0;Optimo
98.49282;0;0;6.287879;Optimo
106.5802;1;0;28.10606;Enganchado
106.5988;1;0;28.10606;Enganchado
191.0156;1;0;28.10606;Enganchado
2.328092;0;0;6.287879;Optimo
2.809754;0;0;28.10606;Enganchado
2.821924;0;0;28.10606;Enganchado
22.31056;0;0;28.10606;Enganchado
23.55836;0;0;0;Optimo
23.55836;0;0;0;Optimo
30.87748;0;1;6.287879;Optimo
47.32256;0;0;6.287879;Optimo
49.28238;0;0;28.10606;Enganchado
49.29842;0;0;28.10606;Enganchado
89.90239;0;0;28.10606;Enganchado
91.28625;0;0;0;Optimo
91.28625;0;0;0;Optimo
94.48882;0;0;6.287879;Optimo
96.8248;0;0;28.10606;Enganchado
96.84026;0;0;28.10606;Enganchado
105.5615;2;0;46.17586;Frustrado
105.5785;2;0;46.17586;Frustrado
117.0923;0;0;0;Optimo
117.0923;0;0;0;Optimo
119.6398;0;0;6.287879;Optimo
132.4431;1;0;28.10606;Enganchado
132.48;1;0;28.10606;Enganchado
168.8783;1;0;28.10606;Enganchado
135.5418;0;0;0;Optimo
137.1846;0;0;0;Optimo
137.1846;0;0;0;Optimo
90.71545;0;0;0;Optimo
95.83013;0;0;0;Optimo
95.83013;0;0;0;Optimo
230.1169;0;0;0;Optimo
8.049238;0;0;6.287879;Optimo
35.7474;0;0;6.287879;Optimo
40.60202;0;0;0;Optimo
40.60202;0;0;0;Optimo
103.437;0;0;0;Optimo
104.6066;0;0;0;Optimo
104.6066;0;0;0;Optimo
